name,desc,price
床尚天然原木御凉席,原木纤维，排汗透气，多彩席面...,¥ 99 起
头层水牛皮席三件套,100%厚切头层牛皮，经久耐用，...,¥ 2499 起
8H 水洗棉抗菌空调被,高效抑菌可机洗，柔软透气，婴...,¥ 169 起
8H 抗菌凉感薄被,舒适凉感，透气速干，高效抑菌...,¥ 129 起
床尚老粗布凉席三件套,传统工艺织造，长绒棉纱线，透...,¥ 299
COMO LIVING法国进口水洗亚麻件...,法国纯正亚麻，凉爽亲肤，天然...,¥ 299 起
天然蔺草席三件套,优选天然蔺草，透气吸湿，保持...,¥ 259 起
COMO LIVING冷感超柔凉爽薄被,冷感纤维，冰凉干爽，双面设计...,¥ 99 起
每晚竹语天丝凉感三件套,抑菌透气，凉爽亲肤，耐洗耐磨,¥ 399 起
Bestkids婴儿冰丝凉席,清凉透气 | 柔和亲肤 | 四角弹...,¥ 79
COMO LIVING天竺棉抗菌针织夏凉...,新疆长绒棉，抗菌棉填充，柔和...,¥ 99 起
每晚滑爽天丝印花四件套,奥地利兰精天丝，深海睡眠因子...,¥ 549 起
8H凝胶记忆绵枕,清凉小天地，零压好睡眠,¥ 199
COMO LIVING华夫格纯棉多功能盖...,阿克苏长绒棉，植物染色，经典...,¥ 199 起
每晚竹语天丝四件套,凉爽丝滑，双重透气，天然抑菌...,¥ 399 起
每晚微凉天丝桑蚕丝夏被,双宫茧桑蚕丝，奥地利兰精天丝...,¥ 549 起
8H光双宫茧桑蚕丝被（夏款）,100%光双宫茧桑蚕丝， 古法手作...,¥ 489 起
每晚丝滑贴身夏被,如丝如缎，透气亲肤，自然干爽,¥ 299 起
8H可水洗凉感软席,柔软席面，凉而不冰，高弹支撑...,¥ 129 起
8H七分区天然乳胶床垫R1,泰国纯天然乳胶，新一代发泡工...,¥ 1099 起
8H乳胶弹簧静音床垫M3,20厘米厚度，独立袋装弹簧支撑...,¥ 1599 起
8H天然乳胶床垫M1,天然乳胶，0胶水环保材质，医用...,¥ 599 起
8H乳胶多线径独立筒弹簧床垫T3,精准人体工学，多线径独立筒弹...,¥ 1999 起
8H天然乳胶床垫M2,17厘米厚度，唯美外观，天然乳...,¥ 1299 起
8H双面双温感乳胶弹簧床垫M5,双面双睡感，夏季凉感，冬季温...,¥ 1999 起
宇宙沙盘控温抗菌床垫保护垫,冷热控温 高效抗菌 防污洁净 方...,¥ 199 起
每晚抗菌防螨床垫保护套,床垫拍档，抗菌防螨，亲肤透气...,¥ 119
8H防螨抗菌青春床垫,抗菌防螨，亲肤透气，一垫多用...,¥ 499 起
Yeelight智能LED吸顶灯,荣获德国iF工业设计大奖和德国...,¥ 379
Yeelight全屋超值灯组,打造全屋智能灯光方案,¥ 2499 直降
Yeelight智能皎月吸顶灯 480版...,超薄灯体，专利快装结构，20㎡...,¥ 499
Yeelight智能皎月吸顶灯 650版...,增加绚丽多彩智能背光氛围灯，...,¥ 899
Yeelight皎月吸顶灯组（一室一...,小户优选，皎月吸顶灯480/650,¥ 1298 直降
Yeelight皓石感应LED吸顶灯min...,内置双感应器，人来即亮，高显...,¥ 99
Yeelight LED智能灯泡 升级版...,亮度升级，色温亮度可调，早晚...,¥ 99 起
Yeelight智能护眼台灯Pro,德国首发，复旦大学教授鉴定，...,¥ 799
原木简约盘子台灯,天然实木，温馨简约，兼具收纳...,¥ 249
飞利浦智睿筒灯 可调色温版,亮度无级调节，随心变化 ／ 编...,¥ 59
飞利浦智睿床头灯,无极旋转调光调色，多种动态氛...,¥ 299
米家LED吸顶灯,显色指数高达Ra95 ／ 采用72颗...,¥ 399
飞利浦智奕台灯 黑金版,线性大简设计，独特双光源设计...,¥ 249
飞利浦智奕吸顶灯 星空版,浪漫繁星透光设计，色温亮度可...,¥ 499 起
Yeelight智能全屋超值灯组,一步拥有，全屋智能照明,¥ 759 起
Yeelight充电感应夜灯,灵活放置，USB充电，超长续航，...,¥ 79 起
Yeelight智能烛光氛围灯,至美造型，无极亮度调节，移动...,¥ 299
Yeelight LED筒灯,高亮度，低功耗/简约风格/专业...,¥ 39.9 起
Yeelight语音助手,荣膺CES ASIA创新大奖，内置微...,¥ 229 直降
米家床头灯,1600万种灯光颜色，米家智能场...,¥ 249
米家飞利浦智睿台灯二代,聪明光校，全自由度结构设计，...,¥ 199
米家LED智能台灯,光的艺术品，荣获iF设计金奖,¥ 169
Yeelight智能氛围彩光灯带,柔性带状光源，DIY专属氛围,¥ 169
一居室明朗灯光组合套装,Yeelight皎月智能吸顶灯480+Ye...,¥ 828 直降
两居室温馨灯光组合套装,两居室温馨灯光，为家人聚好光,¥ 1956 直降
Yeelight臻白LED面板灯,均匀明亮，超薄设计，防尘防蚊...,¥ 128 起
飞利浦智睿蜡烛灯泡,E14小螺口 / APP编组控制 / 亮...,¥ 59
Yeelight皎月吊灯,极简风格，氛围好光，金属灯身...,¥ 349
米家飞利浦智睿吸顶灯,知季节变幻，调色温冷暖,¥ 349
米家感应夜灯,光敏+红外感应，可挂可贴，亮度...,¥ 49
Yeelight LED智能灯泡 彩光版...,绚丽多彩的灯光颜色，冷暖色温...,¥ 99
Yeelight灵动LED充电台灯,灵活自如，好光舒适，色温亮度...,¥ 149
COOWOO移动充电LED台灯,8小时最亮照明，100天超长待机,¥ 139
Yeelight LED 吸顶灯（儿童版）...,童趣Q萌图案，柔光不刺眼，月光...,¥ 429
飞利浦智睿球泡灯,自由调节亮度及色温，多个灯泡...,¥ 49
样子自由组合方糖沙发,随心搭配，103°靠背，超宽坐深...,¥ 569 起
摩摩哒智能休闲按摩椅,全身按摩，模拟零重力，智能AP...,¥ 4599
8H独立袋装弹簧布艺沙发,0螺丝组装，万元级配置，优雅设...,¥ 1199 起
样子小世界床头柜,简约设计，圆润弧度，自然纹理...,¥ 349
铜师傅安格尔黑胡桃原木餐桌椅,黑胡桃原木，榫卯结构，悬浮式...,¥ 299 起
8H真皮电动休闲沙发,头层牛皮，高密度海绵，德国电...,¥ 1999
铜师傅黑胡桃原木小桌凳（升级...,榫卯结构，黄铜配饰，无钉无漆...,¥ 169 起
橙舍简约风客厅组合式茶几,天然竹制，高低组合，简约设计...,¥ 269 起
橙舍多功能T移动边几,天然竹制，任意移动，双层置物...,¥ 229
橙舍多功能沙发伴侣,天然竹制，多场景使用，不占空...,¥ 199
或许墙面置物架,北欧设计师，俄罗斯实木，曲木...,¥ 179 起
8H美式简约独立弹簧布艺沙发,松软包裹感，宽厚大身量，环保...,¥ 1699 起
橙舍多层靠墙置物架,多功能置物，斜靠造型，底部防...,¥ 199
8H懒人舒适沙发,舒适支撑，细腻耐磨，简洁百搭,¥ 599 直降
傲风有品定制电竞椅,加厚海绵坐垫 四级防爆气压杆 ...,¥ 999
8H 水洗棉抗菌空调被,高效抑菌可机洗，柔软透气，婴...,¥ 169 起
8H 抗菌凉感薄被,舒适凉感，透气速干，高效抑菌...,¥ 129 起
8H光双宫茧桑蚕丝被（夏款）,100%光双宫茧桑蚕丝， 古法手作...,¥ 489 起
COMO LIVING冷感超柔凉爽薄被,冷感纤维，冰凉干爽，双面设计...,¥ 99 起
COMO LIVING天竺棉抗菌针织夏凉...,新疆长绒棉，抗菌棉填充，柔和...,¥ 99 起
COMO LIVING华夫格纯棉多功能盖...,阿克苏长绒棉，植物染色，经典...,¥ 199 起
8H 儿童天然蚕丝子母被,100%天然蚕丝，安心彩棉，子母...,¥ 299 起
每晚微凉天丝桑蚕丝夏被,双宫茧桑蚕丝，奥地利兰精天丝...,¥ 549 起
8H可水洗凉感软席,柔软席面，凉而不冰，高弹支撑...,¥ 129 起
每晚澳大利亚羊毛床褥,100%美利奴羊毛 久用不塌陷 防...,¥ 299 起
8H光双宫茧桑蚕丝被（春秋款）,古法手作，舒适保暖，3斤/4斤可...,¥ 1199 起
8H 3D七孔保暖被,1:4:1优质填充，更轻更暖不压身,¥ 239 起
8H　95％白鹅绒静音被 Y1,95%大朵白鹅绒，59°错位格斜立...,¥ 899 起
每晚丝滑贴身夏被,如丝如缎，透气亲肤，自然干爽,¥ 299 起
每晚智暖95％白鹅绒被,全新一代超轻超暖分区白鹅绒，...,¥ 999 起
每晚臻绒经典白鹅绒被,品质好绒，古法工艺，95%白鹅绒,¥ 999 起
每晚随身暖心羽绒小披毯,防寒小物，灰鹅绒填充，多功能...,¥ 129
每晚精梳棉针织毯,新疆细绒棉，双面色织，婴幼儿...,¥ 99 起
宇宙沙盘控温被,航天新材料，冷热动态控温，轻...,¥ 699 起
床尚亲肤云绒冬厚被,云绒纤维，超轻面料，柔软舒适...,¥ 129 起 直降
8H护颈乳胶枕Z2,天然乳胶，三曲线护颈，弹力上乘,¥ 239
8H乳胶枕Z1,泰国乳胶，德国物理防螨内枕套...,¥ 159 起
8H凝胶记忆绵枕,清凉小天地，零压好睡眠,¥ 199
8H白鹅绒三腔舒适枕,三腔复合填充，五星级好睡眠,¥ 299
8H可调节天然乳胶颗粒枕,2kg纯乳胶颗粒填充，整块乳胶打...,¥ 269
8H 3D透气舒弹枕,双重螺旋结构，释放颈部压力,¥ 99
每晚苦荞分区护颈枕,高低可调，益气安神，三重净化...,¥ 79
8H Evolon抗菌防螨儿童定型枕,柔软支撑，抗菌防螨，100%全进...,¥ 129
8H三曲线记忆绵枕H1 四季版,舒缓颈椎，除菌除湿，四季适用,¥ 99 起
8H蝶形记忆绵枕H2 四季版,翻身无压力，修复颈椎，四季适用,¥ 129
每晚多功能强支撑午睡枕,3D曲面支撑，办公室午睡神器,¥ 69
8H记忆绵U形护颈枕,时刻护颈  伴你左右,¥ 49
8H记忆绵多功能午睡枕,一枕多用  午休神器,¥ 79
多功能便携护颈枕,天竺棉抑菌外枕套，天然乳胶颗...,¥ 79 起
COMO LIVING纯棉几何印花四件套...,柔软亲肤，活性印染，四季适用...,¥ 299 起
床尚天然原木御凉席,原木纤维，排汗透气，多彩席面...,¥ 99 起
COMO LIVING法国进口水洗亚麻件...,法国纯正亚麻，凉爽亲肤，天然...,¥ 299 起
头层水牛皮席三件套,100%厚切头层牛皮，经久耐用，...,¥ 2499 起
每晚春夏抑菌竹棉四件套,质朴触感，吸湿透气，天然抑菌...,¥ 429 起
COMO LIVING纯棉花鸟印花双人四...,阿克苏长绒棉，清新花纹，田园...,¥ 359 起
每晚竹语天丝四件套,凉爽丝滑，双重透气，天然抑菌...,¥ 399 起
每晚竹语天丝凉感三件套,抑菌透气，凉爽亲肤，耐洗耐磨,¥ 399 起
COMO LIVING埃及长绒棉贡缎丝滑...,埃及长绒棉，丝绸般质地，珠光...,¥ 179 起
8H天竺棉针织件套,高弹天竺棉 婴童级呵护,¥ 239
COMO LIVING儿童缎纹印花三件套...,埃及长绒棉，新活性印染，童趣...,¥ 399
每晚滑爽天丝印花四件套,奥地利兰精天丝，深海睡眠因子...,¥ 549 起
床尚老粗布凉席三件套,传统工艺织造，长绒棉纱线，透...,¥ 299
每晚抗菌防螨床垫保护套,床垫拍档，抗菌防螨，亲肤透气...,¥ 119
每晚长绒棉贡缎套件,丝般睡感，纹理细腻，柔润升级...,¥ 299 起
每晚长绒棉暖绒四件套,60支长绒棉，陶瓷温感起绒技术...,¥ 449 起
纯棉色纺纱四件套,独特混色效果，手感柔软，自然...,¥ 429 起
每晚亲肤水洗棉四件套,水洗技艺，防脱水防褪色,¥ 299 起
乐居者纯棉缎纹撞色四件套,纯棉贡缎，手工拼条，亲肤面料...,¥ 399 起
长绒棉极简缎纹枕套 一对装,通体全棉，整体裁剪，四季通用...,¥ 39
床尚天竺棉针织亲肤套件,针织面料，着色自然，柔软透气,¥ 239 起
每晚亲肤水洗棉床单/枕套,质朴手感，直接机洗、差旅必备,¥ 69 起
8H天竺棉抗菌亲肤枕套,天然抗菌，天竺棉外枕套/Clean...,¥ 49 起
乐居者水洗亚麻清凉三件套,天然亚麻，快速散热，春夏良品,¥ 359 起
彩虹大孔雀竹芋,纹路清晰的高颜值观叶植物，绿...,¥ 59
原木简约数字挂钟,回归自然，原木质感，简约设计...,¥ 199
原木静音扫秒闹钟,回归自然，原木质感，静音扫秒,¥ 99
单身狗“佟旺旺”,古法铸造，优质黄铜，高温着色...,¥ 299
好运常伴绿植套装（幸福树、金...,清新绿植，四季葱翠，装点家居...,¥ 99
北欧风植物三盆装（橡皮树、琴...,"极简装饰,四季常绿,株型优美,轻...",¥ 149
十全十美多肉盆组,高原多肉，植株健硕，品类多样...,¥ 199
康乃馨盆栽（2盆装）,亲情之花，花色娇艳，斑斓雅洁,¥ 69
花花草草监测仪,光温水肥全面监测，手机植物数...,¥ 49
小叶紫檀盆栽,色调呈黑色，微有芳香，深沉古雅,¥ 89
花花草草智能花盆,智能监测，体贴守护钟爱植物,¥ 149
绿植盆栽（4盆装）,嫩绿好心情，空气更清新,¥ 65
香冠柏家居绿植盆栽,独特造型，清新百搭，秋冬季人...,¥ 39
个性文艺多肉盆栽,高原多肉，色泽艳丽，植株健硕...,¥ 39 起
白掌(一帆风顺)盆栽,轻盈多姿，清新自然，洁净保湿,¥ 39
大盆绿萝盆栽,好养易活，四季常绿，大方美观,¥ 39
长寿花盆栽（4盆装）,颜色艳丽，寓意吉祥,¥ 62
掌心迷你玫瑰礼盒,手心大小，欧洲独特品类，爱的...,¥ 99 起
红掌盆栽（2盆装）,外形艳丽，花期持久的荷兰优选...,¥ 69 起
花花草草养护套装,体验轻松养花乐趣,¥ 69 起
雁舍北欧风家居地毯,几何设计，柔软舒适，隔音降噪...,¥ 399 起
180°可折弯天然软木地垫,软木材质，恒温防滑，百变拼接...,¥ 199
入户门专用防尘地垫（仿草坪版）,刮沙除尘，耐磨耐蹭，材质环保...,¥ 89 起
热带雨林手绘抱枕,新疆长绒棉，手绘艺术，数码印...,¥ 79
法国水洗亚麻抱枕,法国进口亚麻，天然抑菌防螨，...,¥ 89
每晚全棉素色格调抱枕,文艺质朴手感，帆布环保耐用,¥ 39 起
柔软米兔抱枕 60cm,严格选料，材质柔软 ，精制工艺...,¥ 129
入户门专用除尘地垫（菠萝纹版）,刮沙除尘，耐磨耐蹭，材质环保...,¥ 79 起
name,desc,price
金鸟驱蚊片（2片装）,"长效驱蚊,同步判定时长,内附驱...",¥ 39
ZMI随身驱蚊器,"离心式挥发,长效驱蚊,随身便携",¥ 59
米家驱蚊器,"室内自由摆放,无加热式设计,一...",¥ 59
驱蚊片,"长效驱蚊,蜂巢式设计,自动判定...",¥ 29
收纳垃圾桶,"外观简约,原创齿型结构,RoHS认...",¥ 59
花漾超短五折防晒伞,"精致小巧,遮阳防晒,晴雨两用",¥ 59
醛净双效活性炭包,"吸附甲醛+苯,高碘值活性炭,隔菌...",¥ 49
洁致抽绳式垃圾袋,"便利收口,新料加厚,防漏锁味,健...",¥ 49 起
品罗自动伞,"一键自动开合,防回弹设计,23寸...",¥ 79
17PIN PP组合储物箱,"透明抽屉,环保材质,随心组合,密...",¥ 79 起 直降
硅藻土浴室地垫,坚硬质地，吸水速干，清洗便捷...,¥ 95 直降
洗欢抹茶色洗漱三件套,清新抹茶色，简约设计风，贴心...,¥ 26.9 直降
悦生活基础小挂钩 6个装,美国进口3M胶，可承重3kg，适用...,¥ 39
自动折叠伞,一键开合，爱上每个下雨的日子,¥ 99
柚家湿厕纸 10包/箱,"安全杀菌,含植物精华,柔软厚实...",¥ 79
考拉妈妈婴童纯棉湿巾,婴童专用 春黄菊花提取物,¥ 69 起
小鹿叮叮纯棉婴儿手口柔湿巾,天然纯棉 无化学添加,¥ 39.9 起
竹纤维无芯卷纸,"拒绝添加,食品级认证,天然慈竹...",¥ 59
柚家竹纤维手帕纸 米家定制,"18包/组,天然竹浆,安全抑菌,四...",¥ 9.9
柚家竹纤维纸巾 米家定制,"6包/提,天然竹浆,有效抑菌,柔韧...",¥ 19.9
柚家抽取式纸面巾 24包,"原生木浆,安全洁净,加厚蓬松,柔...",¥ 79 起
柚家清洁湿巾（家庭装）80片/包...,"母婴适用,EDI纯水,柔软细腻,温...",¥ 49
柚家镜屏清洁湿巾 米家定制,"多功能清洁,速干不掉屑,双面设...",¥ 4 直降
柚家手口清洁湿巾 30包,"10片X30包,母婴适用,RO纯水,柔...",¥ 55
无染天然竹纤维抑菌卷纸 24卷/...,不漂白，无有害添加，食品级认...,¥ 89
洁致懒人抹布 8卷,吸水吸油，干湿两用，强效清洁,¥ 119
柚家卷筒卫生纸 20卷/箱,原生木浆，细腻柔滑，四层加厚...,¥ 79
洁致厨房湿巾 30片*6包,塑点摩擦工艺，去油 除污 祛味...,¥ 119
柚家超韧天然纸面巾 18包/箱,原生木浆，安全洁净，韧滑柔软...,¥ 69 起
天然竹纤维抑菌纸巾尊享包 20包...,不漂白，无有害添加，食品级认...,¥ 89
柚家超柔竹纤维纸面巾 12包/箱...,天然竹浆，保湿抑菌，超柔亲肤,¥ 69 起
天然竹纤维抑菌纸巾畅享包 18包...,不漂白，无有害添加，食品级认证,¥ 59 直降
无染天然竹纤维抑菌手帕纸 12包...,不漂白，无有害添加，食品级认...,¥ 49
婴儿全棉柔巾 6包装,进口美棉，干湿两用，零添加，...,¥ 86 直降
全棉柔巾 6包装,进口美棉，干湿两用，零添加，...,¥ 126
全棉抗菌湿巾 12片/包 10包/箱...,进口美棉，温和不刺激，新生儿...,¥ 69
柚家迷你手帕纸 72包/箱,小巧轻便，原生木浆，干湿两用...,¥ 39 起
wiha 升降弹仓式26合1螺丝刀,"隐藏式弹仓,13枚高精度铬钒钢双...",¥ 199
小米随身手电筒,11 挡可调亮度，极简设计，335...,¥ 79
Wowstick电动螺丝刀1fs 升级版...,一体铝机身，手自一体切换，LE...,¥ 199
米家wiha精修螺丝刀套装,24枚wiha精密批头,¥ 99
洒哇地咔无线手持除螨仪,"无线手持,高频拍打,强劲吸力,紫...",¥ 399
悠启小白鞋清洁剂+增白剂,"低泡免洗,快速增白,养护皮革,3...",¥ 29.9
小闲除螨抗菌洗衣机槽清洗剂,"除螨率100%,杀菌抗菌,强力去污",¥ 49 起
洒哇地咔无线手持电动擦地机,往复式擦地，强效拖布，轻松操...,¥ 599
德尔玛喷水拖把,"即拖即干,0.75kg不费力,碳纤维...",¥ 59
洁致不锈钢洗杯刷+3个可替换刷...,蜂窝海绵，快速起泡，避免细菌...,¥ 19.9
洁致竹制长柄锅刷,竹制手柄，软硬适中刷毛，强力...,¥ 26.9
洁致金刚砂海绵魔力擦 5片装,清污除垢，厨具去锈，打磨抛光...,¥ 19.9
洁致三层复合洗碗刷 6片装,多效合一，防刮伤，更抑菌，起...,¥ 16.9
洁致竹纤维抹布 五条/包,质地柔韧，一冲即白，凸纹去污...,¥ 29.9
洁致竹柄EVA泡棉红酒杯刷,新型材质，软硬刷毛适中，不伤...,¥ 26.9
小闲鞋袜除味剂,"天然植物除臭,长效抑菌,干爽不...",¥ 35.9 起 直降
屏幕清洁喷雾,"分离式瓶体设计,高吸附纤维布,...",¥ 36
喜方良品全效洗衣片 28片/盒,低泡技术，母婴级别适用，pH中...,¥ 25 起
喜方良品吸色防染片 35片/盒,混洗防染，洁净护色，强力吸附...,¥ 25 起
小闲三倍浓缩洗衣液 1千克/瓶,深层去污，三倍浓缩，速溶易漂...,¥ 49 起
小吉浓缩洗衣液,丹麦酵素技术，4倍洁净力，温和...,¥ 49.9 起
小闲洗衣凝珠,6倍洁净，柔顺护色，简单易用，...,¥ 79 起
洒哇地咔电动擦地机拖布,强效清洁，不易掉毛，轻松更换,¥ 35 起
Cature 小壳 原木结团猫砂,"7天不铲也不臭,结团黑科技,7倍...",¥ 39 起
Cature 小壳 原石膨润土猫砂,"美国原矿,1秒结团,8倍吸水,无尘...",¥ 59 起
Cature 小壳 豆腐猫砂,"环保安全,4倍吸水,3秒结团,无尘...",¥ 29 起
NOBLE思源 文具袋,"简约设计,防污耐磨,轻松收纳,携...",¥ 29.9
Radical 瑞士中性笔（12支装）,"瑞士精工,防止漏墨,书写流畅,随...",¥ 24.9
LEMO乐迈 订书机,"底部钉子储藏室,钉子余量提醒,...",¥ 19.9 起
小米多用笔记本,"经典绑带设计,手工包角,优质PU...",¥ 39
NOBLE思源笔记本套装,"多层收纳设计,笔本一体设计,防...",¥ 59
米家金属签字笔专用笔芯,"流畅顺滑,遇水不晕,0.5mm高精密...",¥ 6 直降
米家创意贴纸,"优质PVC防水材质,水性背胶可移...",¥ 9 直降
金属签字笔,180°旋转出笔，轻触自动回弹收...,¥ 24 直降
米家中性笔专用笔芯 3支装,3支一盒，流畅顺滑，遇水不晕，...,¥ 6 直降
Populele智能尤克里里 猫咪款,创新设计，猫咪造型，至臻品质...,¥ 499
Populele U1 智能尤克里里,搭配APP游戏式教学，独具风格的...,¥ 499
品罗中性笔套装 3支装,进口笔芯油墨，120°轻旋出笔，...,¥ 34.9
KACO书源中性笔 10支装,中国好设计金奖，高效办公学习...,¥ 29
SKY百锋墨水笔套装,精密注塑，德国核心书写部件，...,¥ 69
SKY百锋走珠笔 2支装,精密注塑，德国原装走珠笔尖，...,¥ 39 起
KACO一次性墨水囊 12支装,大容量，双头设计，色彩艳丽,¥ 29
SKY百锋钢笔(送墨囊),精准控墨，书写流畅，德国进口...,¥ 49 起
KACO彩虹中性笔 (12支装),进口油墨，书写顺滑，外形简约,¥ 34
米家签字笔,瑞士进口笔芯，日本进口油墨，...,¥ 9 直降
小米生态链战地笔记,记录小米生态链“野蛮生长”这...,¥ 40 直降
品罗线装便携笔记本 3件装,雅臻纯质感，复古车线，精巧便...,¥ 19.9
Populele智能尤克里里 U1,游戏闯关，跟灯弹奏，随性弹唱...,¥ 499
悦生活拖把挂钩（3个装）,"美国进口3M胶,悬挂收纳,单手可...",¥ 45.9
大容量竹纤维桌面收纳盒,"加大容量,科学分格,可拆分清洗...",¥ 89
17PIN PP组合储物箱,"透明抽屉,环保材质,随心组合,密...",¥ 79 起 直降
橙舍竹纤维纸巾盒,天然竹材，换取方便，多场景使...,¥ 89
悦生活卫浴五件套装,"美国进口3M胶,人性化设计,分类...",¥ 59
竹纤维桌面收纳盒,天然竹制，分类收纳，多场景使...,¥ 69
原素收纳盒 6件套,衣柜里的空间魔方,¥ 69
原素内衣收纳盒 2件套,守护你的贴身之物,¥ 49
原素鞋物收纳盒 2件装,心爱战靴的守护卫士,¥ 59
原素衣物防尘罩 2件装,何处惹尘埃,¥ 49 起
原素挂式5层收纳袋,家的理想层,¥ 59
小米电源线收纳盒,防尘，绝缘，插线板专用，桌面...,¥ 49
name,desc,price
德尔玛净化上加水加湿器,UV灯净化，5L大容量，专利电磁...,¥ 299
德尔玛环吸背式吸尘器,轻巧背携吸尘，双环流系统，多...,¥ 399
乐秀立式大风量空气循环风扇,激活全屋空气，四面八方自动送...,¥ 499
智米纯净型加湿器,蒸发加湿，便捷注水，4L大水箱...,¥ 499
智米智能马桶盖,即热式恒温供水，舒适冲洗/妇洗...,¥ 999
睿米手持无线吸尘器,轻便大吸力，长久续航，多刷头...,¥ 1699
石头扫地机器人,米家扫地机器人团队出品！  传...,¥ 2499
米家扫地机器人,高精度激光测距，智能规划路径...,¥ 1699
小沐智能马桶盖,纳米银抗菌除臭，持久保持空气...,¥ 1199
小沐智能马桶盖 青春版,即用即热，清洁抗菌，自洁喷嘴...,¥ 799
智米马桶盖过滤器,5um过滤，拦截沙虫，优质PP棉，...,¥ 99
小沐智能马桶盖 除菌过滤器,除菌率99.9%，快速安装接口，手...,¥ 159
小瓦扫地机器人 青春版,1600Pa澎湃吸力，自适应随机算...,¥ 1099
米家扫地机器人虚拟墙,无需用电，长久使用，规避漏扫...,¥ 39
米家扫地机器人主刷罩,密封处理，缓冲胶垫减少损伤，...,¥ 39
米家扫地机器人尘盒滤网,一体成型，更换方便，密封良好...,¥ 39
米家扫地机器人边刷,动态调速边刷，清扫墙边及墙角...,¥ 29
米家扫地机器人主刷,浮动主刷结构，实时贴合地面，...,¥ 39
石头扫地机器人 水箱滤芯,定期更换，去除杂质,¥ 29
石头/小瓦扫地机器人 可水洗滤...,定期更换，有效过滤灰尘,¥ 99
石头/小瓦扫地机器人 边刷,定期更换，让墙边始终如新,¥ 29
石头/小瓦扫地机器人 主刷罩,焕新有周期，时刻可清扫,¥ 39
石头/小瓦扫地机器人 主刷,焕新有周期，清扫更高效,¥ 39
石头/小瓦扫地机器人 虚拟墙,双色虚拟墙，安全清扫空间，由...,¥ 49
石头扫地机器人 拖布,超细纤维，主刷等宽,¥ 39
洒哇地咔无线手持电动擦地机,往复式擦地，强效拖布，轻松操...,¥ 599
洒哇地咔电动擦地机拖布,强效清洁，不易掉毛，轻松更换,¥ 35 起
智米电暖器,对流式加热，通电即热，无感静...,¥ 269
乐秀立式大风量空气循环风扇,激活全屋空气，四面八方自动送...,¥ 499
米家直流变频落地扇,7羽叶设计，模拟自然风算法，智...,¥ 349
智米自然风风扇,还原自然风，内置锂电池，静音...,¥ 599
智米全直流变频空调,一级能效，强劲冷暖，智能控制...,¥ 4399
云米互联网洗烘一体机,16种智能洗涤模式，45分钟快速...,¥ 2599
小吉水珠壁挂洗衣机,95°C高温煮洗，8大洗涤模式，触...,¥ 2499
小吉智能迷你滚筒洗衣机,静音运行，高温煮洗，洗涤  模...,¥ 2099
小米净水器(厨下式),送安装服务，400加仑大流量，R...,¥ 1999
小米净水器 1A （厨下式）,RO反渗透技术，深层净水，400加...,¥ 1499
云米超能净水器,带UV紫外线杀菌的人工智能净水...,¥ 5999
小米净水器（厨上式） 增强版,400加仑大流量，纯水更多，废水...,¥ 1499
小米净水器滤芯 PP棉,拦截5微米以上大颗粒，有效滤除...,¥ 59
小米净水器滤芯 后置活性炭,进口椰壳活性炭，进一步净化水...,¥ 69
小米净水器滤芯 前置活性炭,进口椰壳活性炭，有效吸附异味...,¥ 69
小米净水器滤芯 反渗透,有效滤除抗生素、重金属、细菌...,¥ 499
小米净水器1A复合滤芯,折叠PP，前置炭棒，后置炭棒3合...,¥ 199
小米净水器1A反渗透滤芯（400G）,有效滤除抗生素、重金属、细菌...,¥ 499
净水器PP棉滤芯两件套装,优质PP棉，外松内紧梯度过滤，...,¥ 118
前后置活性炭滤芯套装,有效吸附异味、异色、余氯等，...,¥ 138
净水器PP棉滤芯两年套装,净水器PP棉滤芯两年套装，适用...,¥ 177
净水滤芯方便套装,按时更换，随时保证饮水品质，...,¥ 197
净水滤芯全年套装,按时更换，随时保证饮水品质，...,¥ 256
